Index Name,Description
Nifty 50,
Nifty Next 50,
Nifty 100,
Nifty 200,
Nifty 500,
Nifty Midcap 50,
NIFTY Midcap 100,
NIFTY Smallcap 100,
Nifty50 Dividend Points,
Nifty Auto,
Nifty Bank,
Nifty Energy,
Nifty Financial Services,
Nifty FMCG,
Nifty IT,
Nifty Media,
Nifty Metal,
Nifty MNC,
Nifty Pharma,
Nifty PSU Bank,
Nifty Realty,
Nifty India Consumption,
Nifty Commodities,
Nifty Dividend Opportunities 50,
Nifty Infrastructure,
Nifty PSE,
Nifty Services Sector,
Nifty50 Shariah,
Nifty500 Shariah,
Nifty Low Volatility 50,
Nifty Alpha 50,
Nifty High Beta 50,
Nifty100 Equal Weight,
Nifty100 Liquid 15,
Nifty CPSE,
Nifty50 Value 20,
Nifty Midcap Liquid 15,
Nifty Shariah 25,
India VIX,
Nifty Growth Sectors 15,
Nifty50 TR 1x Inverse,
Nifty50 TR 2x Leverage,
Nifty50 PR 1x Inverse,
Nifty50 PR 2x Leverage,
NIFTY100 Quality 30,
Nifty Tata Group,
NIFTY Alpha Low-Volatility 30,
Nifty 50 Futures Index,
Nifty100 Low Volatility 30,
NIFTY Quality Low-Volatility 30,
NIFTY LargeMidcap 250,
Nifty Smallcap 250,
Nifty 50 Arbitrage,
Nifty Smallcap 50,
NIFTY500 Value 50,
NIFTY200 Quality 30,
Nifty Mahindra Group,
Nifty Tata Group 25% Cap,
Nifty Private Bank,
Nifty MidSmallcap 400,
Nifty Midcap 150,
Nifty Aditya Birla Group,
NIFTY100 Enhanced ESG,
NIFTY100 ESG,
NIFTY SME EMERGE,
NIFTY Alpha Quality Value Low-Volatility 30,
NIFTY50 Equal Weight,
NIFTY Alpha Quality Low-Volatility 30,
Nifty 50 Futures TR Index,
Nifty 8-13 yr G-Sec,
Nifty 4-8 yr G-Sec Index,
Nifty 11-15 yr G-Sec Index,
Nifty 15 yr and above G-Sec Index,
Nifty Composite G-sec Index,
Nifty 10 yr Benchmark G-Sec,
Nifty 10 yr Benchmark G-Sec (Clean Price),
Nifty 1D Rate Index,
Nifty50 USD,
